Line,Section,Block Number,Block Length (ft),Block Length (m),Block Grade (%),Speed Limit (MPH),Speed Limit (Km/Hr),Infrastructure,Station Side,ELEVATION (ft),CUMALTIVE ELEVATION (ft),seconds to traverse block,c
Green,T,108,328,100,0,17.398388,28,RAILWAY CROSSING,,0,2640,12.9,
Green,T,109,328,100,0,17.398388,28,,,0,2640,12.9,
Green,U,110,328,100,0,18.64113,30,,,0,2640,12.0,
Green,U,111,328,100,0,18.64113,30,,,0,2640,12.0,
Green,U,112,328,100,0,18.64113,30,,,0,2640,12.0,
Green,U,113,328,100,0,18.64113,30,,,0,2640,12.0,
Green,U,114,531,162,0,18.64113,30,STATION; GLENBURY,Right,0,2640,19.4,
Green,U,115,328,100,0,18.64113,30,,,0,2640,12.0,
Green,U,116,328,100,0,18.64113,30,,,0,2640,12.0,
Green,V,117,164,50,0,9.320565,15,,,0,2640,12.0,
Green,V,118,164,50,0,9.320565,15,,,0,2640,12.0,
Green,V,119,131,40,0,9.320565,15,,,0,2640,9.6,
Green,V,120,164,50,0,9.320565,15,,,0,2640,12.0,
Green,V,121,164,50,0,9.320565,15,,,0,2640,12.0,
Green,W,122,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,123,164,50,0,12.42742,20,STATION; OVERBROOK; UNDERGROUND,Right,0,2640,9.0,
Green,W,124,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,125,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,126,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,127,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,128,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,129,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,130,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,131,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,132,164,50,0,12.42742,20,STATION; INGLEWOOD; UNDERGROUND,Left,0,2640,9.0,
Green,W,133,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,134,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,135,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,136,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,137,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,138,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,139,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,140,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,141,164,50,0,12.42742,20,STATION; CENTRAL; UNDERDROUND,Right,0,2640,9.0,
Green,W,142,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,W,143,164,50,0,12.42742,20,UNDERGROUND,,0,2640,9.0,
Green,X,144,164,50,0,12.42742,20,,,0,2640,9.0,
Green,X,145,164,50,0,12.42742,20,,,0,2640,9.0,
Green,X,146,164,50,0,12.42742,20,,,0,2640,9.0,
Green,Y,147,164,50,0,12.42742,20,,,0,2640,9.0,
Green,Y,148,604,184,0,12.42742,20,,,0,2640,33.1,
Green,Y,149,131,40,0,12.42742,20,,,0,2640,7.2,
Green,Z,150,115,35,0,12.42742,20,,,0,2640,6.3,
,,,,,,,,,,,,,
,,,,,,,,,,,,4.846153846,
,,,,,,,,,,,,4.038461538,
